,Store,Source,Date,Version,Rating,Original Reviews,Translated Reviews,Sentiment,Components,Features,Keywords,Verb Phrases,Noun Phrases,Actions
10,iOS,Appbot,2017-11-16,10.1,1.0,"Needs an adblocker. And please un-include pocket. Their trending advertorials are of no interest or relevance, just clutter.","Needs an adblocker. And please un-include pocket. Their trending advertorials are of no interest or relevance, just clutter.",Negative,'Pocket','New Tab',pocket,"un include pocket, are of no interest","Needs, an adblocker, pocket, trending, advertorials, no interest, relevance, clutter",'un include pocket'
11,iOS,Appbot,2017-11-16,10.1,4.0,"Good update but.... Firefox has definitely improved its UI with the new update. I like the 'night mode' option that is much better now compared to the old that simply dimmed the brightness. There still needs to be a way to edit bookmarks and create folders to them... so that this iOS app is as useful as the desktop version. Also needs to add a way to use Find in PDFs. 

Issue (as of Nov 11 2017): Sometimes images get messed up when scrolling in night mode. 

It would be really cool if the 'containers' feature on the desktop Firefox was added to iOS's version; that would really set iOS's Firefox apart as a great browser. I realize iOS has restrictions so addons might not be allowed by Apple in Firefox; although, those would be really cool too. I hope the developers will take note of this review and I appreciate the open-source and transparent philosophy Firefox has supported over the years.","Good update but.... Firefox has definitely improved its UI with the new update. I like the 'night mode' option that is much better now compared to the old that simply dimmed the brightness. There still needs to be a way to edit bookmarks and create folders to them... so that this iOS app is as useful as the desktop version. Also needs to add a way to use Find in PDFs. 

Issue (as of Nov 11 2017): Sometimes images get messed up when scrolling in night mode. 

It would be really cool if the 'containers' feature on the desktop Firefox was added to iOS's version; that would really set iOS's Firefox apart as a great browser. I realize iOS has restrictions so addons might not be allowed by Apple in Firefox; although, those would be really cool too. I hope the developers will take note of this review and I appreciate the open-source and transparent philosophy Firefox has supported over the years.",Positive,"'Bookmark', 'Firefox Browser', 'Firefox Browser', 'Firefox Browser', 'Firefox Browser', 'Firefox Browser', 'Firefox Browser', 'Firefox Browser', 'Night Mode', 'Night Mode'","'Bookmark', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'Settings', 'Settings'","bookmark, Firefox, Like, Use, Open, support, addon, version, Night, night mode","like the night mode option, dimmed the brightness, be a way, edit bookmarks, add a way, use Find in PDFs Issue, scrolling in night mode, feature on the desktop Firefox, iOS s version, set iOS s Firefox, realize iOS, has restrictions so addons, allowed by Apple in Firefox, hope the developers, take note of this review, appreciate the open source, supported over the years","Good update, Firefox, UI, the new update, the night, mode, option, the brightness, a way, bookmarks, create, folders, this iOS, app, the desktop, version, a way, Find, PDFs, Issue, Nov, Sometimes, images, night, mode, the containers, the desktop, Firefox, s version, iOS, s Firefox, a great browser, iOS, restrictions, addons, Apple, Firefox, the developers, note, this review, the open source, transparent, philosophy, Firefox, the years","'edit bookmarks', 'feature on the desktop Firefox', 'set iOS s Firefox', 'allowed by Apple in Firefox', 'like the night mode option', 'use Find in PDFs Issue', 'appreciate the open source', 'supported over the years', 'has restrictions so addons', 'iOS s version', 'like the night mode option', 'scrolling in night mode', 'like the night mode option', 'scrolling in night mode'"
12,iOS,Appbot,2017-11-16,10.1,5.0,"Dernière mise à jour très performante !. Depuis la dernière mise à jour, le navigateur est devenu très performant ! De plus l'interface est vraiment géniale, et adhère un style vraiment tendance !","Last update very powerful!. Since the last update, the browser has become very efficient! Plus the interface is really great, and adheres a style really trendy!",Positive,"'Firefox Browser', 'Firefox Browser'","'General', 'General'","Browser, interface",adheres a style,"the browser, the interface, a style","'update, the browser', 'Plus the interface'"
13,iOS,Appbot,2017-11-16,10.1,1.0,"Lost all my tabs. Every time they have a major update, it closes all your tabs and you can’t get them back. Also, they send out updates a lot. Not every update did it, but after about the 3rd time, I gave up and went back to Safari.","Lost all my tabs. Every time they have a major update, it closes all your tabs and you can’t get them back. Also, they send out updates a lot. Not every update did it, but after about the 3rd time, I gave up and went back to Safari.",Negative,'Firefox Browser','General',Update,"have a major update, updates a lot","tabs, Every time, a major update, tabs, a lot, every update, time, Safari","'have a major update', 'updates a lot'"
14,iOS,Appbot,2017-11-16,10.1,1.0,Done with Firefox. You can stick your garbage browser where the sun don't shine.,Done with Firefox. You can stick your garbage browser where the sun don't shine.,Negative,"'Firefox Browser', 'Firefox Browser'","'General', 'General'","Firefox, Browser",,"Done, Firefox, garbage, browser, the sun, don, t, shine","'Done with Firefox', 'your garbage browser'"
15,iOS,Appbot,2017-11-16,10.1,2.0,"Integration with password apps is terrible. I am a big fan of 1Password, and it integrates with browsers through the share menu, which unfortunately in Firefox it is 2 clicks away, which might not sound bad, but when you are used to having it available all the time, it feels slow and cumbersome.","Integration with password apps is terrible. I am a big fan of 1Password, and it integrates with browsers through the share menu, which unfortunately in Firefox it is 2 clicks away, which might not sound bad, but when you are used to having it available all the time, it feels slow and cumbersome.",Negative,"'Firefox Browser', 'Firefox Browser', 'Firefox Browser'","'General', 'General', 'General'","Browser, menu, integration","am a big fan, integrates with browsers through the share menu","Integration, password, apps, a big fan, browsers, the share, menu, Firefox, clicks, the time, cumbersome","'integrates with browsers through the share menu', 'integrates with browsers through the share menu', 'integrates with browsers through the share menu'"
16,iOS,Appbot,2017-11-16,10.1,4.0,"Some problems. 1. Can’t resize text with two fingers for some webpages
2. White web page after changing active tab to another","Some problems. 1. Can’t resize text with two fingers for some webpages
2. White web page after changing active tab to another",Neutral,'Tabs','Tabs',Tab,changing active tab,"Some problems, fingers, some webpages, White, web, page, active tab",'changing active tab'
17,iOS,Appbot,2017-11-16,10.1,2.0,Address bar as slow as it gets. All is in the title... use the address bar to make a search on google. Firefox will browse through your historic as well and show them as you are typing and ...man this takes forever. You can’t even disable this « feature ». Went back to safari. Much smoother there.,Address bar as slow as it gets. All is in the title... use the address bar to make a search on google. Firefox will browse through your historic as well and show them as you are typing and ...man this takes forever. You can’t even disable this « feature ». Went back to safari. Much smoother there.,Neutral,"'Default search engine', 'Default search engine'","'Settings', 'Settings'","google, search","is in the title, make a search on google","Address, bar, the title, the address, bar, a search, google, Firefox, historic, man, this feature, Went","'make a search on google', 'make a search on google'"
18,iOS,Appbot,2017-11-16,10.1,1.0,????. Flash поддерживает?,????. Does Flash support?,Neutral,'Firefox Browser','General',support,Does Flash support,"Flash, support",'Does Flash support'
19,iOS,Appbot,2017-11-16,10.1,4.0,"Not interested in recommendations. The default home page has too much junk on it and I need the option to turn stuff off.
Pocket recommendations - Off
Frequently visited sites - Off
Home screen - blank - great

Update .. thanks for the follow up- just what I was looking for!","Not interested in recommendations. The default home page has too much junk on it and I need the option to turn stuff off.
Pocket recommendations - Off
Frequently visited sites - Off
Home screen - blank - great

Update .. thanks for the follow up- just what I was looking for!",Neutral,'Firefox Browser','General',Update,"need the option, visited sites Off Home screen, blank great Update","recommendations, The default, home, page, much junk, the option, Pocket, recommendations, Off, sites, Off, Home, screen, great Update, thanks",'blank great Update'
20,iOS,Appbot,2017-11-16,10.1,4.0,Resize text problem. Can’t resize text with two fingers for some webpages,Resize text problem. Can’t resize text with two fingers for some webpages,Negative,"'Page', 'Text'","'Utilities', 'Utilities'","webpage, text",,"Resize, text, problem, fingers, some webpages","'for some webpages', 'Resize text', 't resize text'"
21,iOS,Appbot,2017-11-16,10.1,3.0,"Firefox与Firefox Focus差别. 先说一句，浏览器本身盈利难，可是也需要走心。
火狐浏览器手机版各有千秋，先说focus。它的界面干净简洁，可缺乏功能。不能给PC端推送网页不说，登陆浏览网页收藏都不行，退出浏览器后不能记住，退出前未关闭页面。

它的优点只有干净简洁。

而传统的浏览器，不错该有的都有了。可是新建页面广告特别多。和市面上的大多数浏览器一样，首页加载一堆有的没的新闻，尤其是偶尔还要广告混在其中。

它的优点只是功能较为健全（连安卓版的插件都没有），推送网页有时还有一分多钟的延时","Firefox and Firefox Focus difference. First to say, the browser itself profit difficult, but also need to worry. Firefox browser version has its advantages and disadvantages, first focus. Its interface is clean and concise, lacking in functionality. Can not push the page to the PC side does not say, visit the webpage collection will not work, quit the browser can not remember, did not close the page before exiting. Its advantages are clean and concise. The traditional browser, it is true that some have it. However, many new page ads in particular. Like most browsers in the market, the home page loads a bunch of unwanted news, especially if it is occasionally advertised. Its advantage is only more functional (even the Android version of the plug-ins are not), push the web sometimes have more than a minute delay",Positive,"'Firefox Browser', 'Page', 'Page'","'General', 'Utilities', 'Utilities'","Browser, page, webpage","say the browser, push the page, say visit the webpage collection, close the page, loads a bunch of unwanted news","Firefox, Firefox, Focus, difference, the browser, profit, Firefox, browser, version, advantages, disadvantages, interface, concise, lacking, functionality, the page, the PC, side, the webpage, collection, the browser, the page, advantages, concise, The traditional browser, many new page, ads, browsers, the market, the home, page, a bunch, unwanted news, advantage, the Android, version, the plug, ins, the web, a minute, delay","'say the browser', 'push the page', 'close the page', 'say visit the webpage collection'"
22,iOS,Appbot,2017-11-16,10.1,3.0,请增加强制桌面版功能. 很多页面检测到手机之后再用桌面版切不过去，实在是麻烦，之前还能用的,"Please increase the mandatory desktop version. Many pages detect the phone and then use the desktop version of the past, it is troublesome, can be used before",Negative,"'Firefox Browser', 'Firefox Browser'","'General', 'General'","Use, version","increase the mandatory desktop version, detect the phone, use the desktop version","the mandatory desktop, version, Many pages, the phone, the desktop version","'use the desktop version', 'increase the mandatory desktop version', 'use the desktop version'"
23,iOS,Appbot,2017-11-16,10.1,5.0,"Cant open it since the last upgrade of the app. Check the bugs on the app. I cant open it on my ios 11.xx
Thanks","Cant open it since the last upgrade of the app. Check the bugs on the app. I cant open it on my ios 11.xx
Thanks",Negative,'Firefox Browser','General',app,Check the bugs on the app,"the last upgrade, the app, the bugs, the app, ios, xx Thanks",'Check the bugs on the app'
24,iOS,Appbot,2017-11-16,10.1,1.0,"Bad Update I didn't ask for. I never updated this app. It updates itself even though none of my apps are set to automatic update. For that alone, I am disillusioned with Firefox. It's supposed to be private but forced an update on my phone. And it's not private!!! I don't want this is the ""private mode""! On top of all of that, it barely loads pages anymore. It's so slow I don't even want to use it. Thanks Firefox! For caving to non privacy and Google just like all of the other browsers! 😡","Bad Update I didn't ask for. I never updated this app. It updates itself even though none of my apps are set to automatic update. For that alone, I am disillusioned with Firefox. It's supposed to be private but forced an update on my phone. And it's not private!!! I don't want this is the ""private mode""! On top of all of that, it barely loads pages anymore. It's so slow I don't even want to use it. Thanks Firefox! For caving to non privacy and Google just like all of the other browsers! 😡",Negative,"'Firefox Browser', 'Firefox Browser', 'Firefox Browser', 'Private Mode', 'Private Mode', 'Private Mode', 'Page'","'General', 'General', 'General', 'Privacy/Security', 'Privacy/Security', 'Privacy/Security', 'Utilities'","Firefox, Update, app, private mode, private, privacy, page","didn t ask, updated this app, disillusioned with Firefox, forced an update, is the private mode On top, loads pages, non privacy","Bad, Update, t ask, this app, none, apps, automatic update, Firefox, an update, phone, the private mode, top, pages, Thanks, Firefox, privacy, Google, the other browsers","'disillusioned with Firefox', 'updated this app', 'forced an update', 'updated this app', , 'is the private mode On top', 'non privacy', 'loads pages'"
25,iOS,Appbot,2017-11-16,10.1,4.0,Velocidad en internet. Si se ha superado la velocidad en internet lo calificaría con 5 estrellas,Speed ​​on the internet. If you have exceeded the speed on the internet I would rate it with 5 stars,Positive,Others,Others,,exceeded the speed on the internet,"Speed, the internet, the speed, the internet, rate, stars",
26,iOS,Appbot,2017-11-16,10.1,5.0,Great alternative to Safari!. This is a great alternative to safari for those interested in private browsing!,Great alternative to Safari!. This is a great alternative to safari for those interested in private browsing!,Positive,'Private Mode','Privacy/Security',private,,"Great, private browsing",'interested in private'
27,iOS,Appbot,2017-11-16,10.1,5.0,Einfach nur super.... Firefox läuft sehr schnell und stabil. Jedes Update bringt Verbesserungen und Firefox wird immer besser. Ein großes Lob an die Entwickler 👍 Bitte macht weiter so !,Simply superb .... Firefox runs very fast and stable. Every update brings improvements and Firefox is getting better. Kudos to the developers 👍 Please keep up the good work!,Positive,"'Firefox Browser', 'Firefox Browser'","'General', 'General'","Firefox, Update",keep up the good work,"Simply, superb, Firefox, Every update brings, improvements, Firefox, Kudos, the developers, Please, the good work","'Firefox', 'improvements and Firefox', 'Every update'"
28,iOS,Appbot,2017-11-16,10.1,2.0,Terrible UI. Much less user friendly than Safari and quite ugly too.,Terrible UI. Much less user friendly than Safari and quite ugly too.,Negative,"'Firefox Browser', 'Firefox Browser'","'General', 'General'","ui, safari",,"Terrible UI, Safari","'Terrible UI', 'friendly than Safari'"
29,iOS,Appbot,2017-11-16,10.1,5.0,前よりいい. good,And better than before. Good,Positive,Others,Others,,,,
30,iOS,Appbot,2017-11-16,10.1,4.0,"Best browser, but not by much.. Firefox has to be my favorite browser for iOS.

That said... the new update leaves me a bit annoyed:

I loved having the new tab button on the URL bar, but it’s at the bottom now. 

The “reader mode” button shouldn’t be on the URL bar either... I’ve hit it whole browsing when I didn’t want to.

Lastly, PLEASE give us an option to disable this “Pocket” rubbish! It’s basically officially-supported clickbait; one of the worst additions to a browser add-on ever.","Best browser, but not by much.. Firefox has to be my favorite browser for iOS.

That said... the new update leaves me a bit annoyed:

I loved having the new tab button on the URL bar, but it’s at the bottom now. 

The “reader mode” button shouldn’t be on the URL bar either... I’ve hit it whole browsing when I didn’t want to.

Lastly, PLEASE give us an option to disable this “Pocket” rubbish! It’s basically officially-supported clickbait; one of the worst additions to a browser add-on ever.",Neutral,"'Firefox Browser', 'Pocket', 'Tabs', 'Link/URL'","'General', 'New Tab', 'Tabs', 'Utilities'","button, pocket, Tab, URL","having the new tab button on the URL bar, s at the bottom, be on the URL bar either, disable this Pocket","Best, browser, Firefox, favorite browser, iOS, the new update, a bit, the new tab, button, the URL, bar, the bottom, The reader, mode, button, shouldn, t, the URL, bar, either, PLEASE, an option, this Pocket, additions, a browser, add","'having the new tab button on the URL bar', 'disable this Pocket', 'having the new tab button on the URL bar', 'having the new tab button on the URL bar', 'be on the URL bar either'"
31,iOS,Appbot,2017-11-16,10.1,5.0,Genial. El mejor navegador,Brilliant. The best browser,Positive,'Firefox Browser','General',Browser,,"Brilliant, browser",'The best browser'
32,iOS,Appbot,2017-11-16,10.1,5.0,Love Photon and speed update !. New look is great! And browser much smoother and faster. Great work!,Love Photon and speed update !. New look is great! And browser much smoother and faster. Great work!,Positive,"'Firefox Browser', 'Firefox Browser'","'General', 'General'","Update, look",,"Love, Photon, speed, update, New, look, Great, work","'and speed update', 'New look'"
33,iOS,Appbot,2017-11-16,10.1,4.0,书签改名. 希望书签能修改名称,Bookmarks renamed. Hope bookmarks can change the name,Neutral,'Bookmark','Bookmark',bookmark,change the name,"Bookmarks, Hope, bookmarks, the name","'Bookmarks', 'Hope bookmarks'"
34,iOS,Appbot,2017-11-16,10.1,3.0,"書籤名稱. 1.目前書籤名稱無法修改，是否開放給使用者自訂名稱！
2.分頁標題列開很多個，分頁標題是否設計成可自動縮小，
    沒有修改。用不太習慣！","Bookmark name. 1. The current bookmark name can not be modified, is open to users to customize the name! 2. Paging title to open a lot of columns, paging header is designed to be automatically reduced, without modification. Not used to use!",Neutral,"'Firefox Browser', 'Page'","'General', 'Utilities'","Open, page","customize the name, Paging title, open a lot of columns, paging header, reduced without modification","Bookmark, name, The current bookmark, name, users, the name, title, a lot, columns, header, modification","'open a lot of columns', 'Paging title', 'paging header'"
35,iOS,Appbot,2017-11-16,10.1,3.0,不能登录同步. 如题，总是显示“意外错误”，邮箱验证也通过了，就是登录不了，无语了！,"Can not log in to sync. Such as the title, always shows &quot;accidental error&quot;, mailbox authentication also passed, that is, can not log in, speechless!",Negative,"'Logins', 'Save Logins'","'Privacy/Security', 'Settings'","log in, save log in","shows quot accidental error quot mailbox authentication, log in speechless","the title, quot accidental error, quot, mailbox, authentication, speechless","'log in speechless', "
36,iOS,Appbot,2017-11-16,10.1,5.0,Good UI. This new update is really great...the UI is so easy to use and navigate...just keep the UI like this..it great,Good UI. This new update is really great...the UI is so easy to use and navigate...just keep the UI like this..it great,Positive,'Firefox Browser','General',ui,keep the UI,"Good UI, This new update, the UI, the UI",'keep the UI'
37,iOS,Appbot,2017-11-16,10.1,5.0,Toujours au top. Rien à redire toujours au top,Always on top. Nothing to complain always on top,Positive,Others,Others,,,"Always, top, top",
38,iOS,Appbot,2017-11-16,10.1,1.0,Bug. This new version makes iPhone stop playing music at random. Fix this!,Bug. This new version makes iPhone stop playing music at random. Fix this!,Negative,'Firefox Browser','General',version,,"Bug, This new version, stop playing, music, random",'This new version'
39,iOS,Appbot,2017-11-16,10.1,5.0,Awesome new look. Just love the new look for Firefox ! Super work guys👍,Awesome new look. Just love the new look for Firefox ! Super work guys👍,Positive,"'Firefox Browser', 'Firefox Browser'","'General', 'General'","Firefox, look",love the new look for Firefox Super work guys,"Awesome, new look, the new look, Firefox, Super, work, guys","'love the new look for Firefox Super work guys', 'love the new look for Firefox Super work guys'"
