,Store,Source,Date,Version,Emotion,Rating,Original Reviews,Translated Reviews
27,iOS,Appbot,2017-10-12,9.2,,5,Firefox. Aivan loistava,. 
28,iOS,Appbot,2017-10-12,9.2,happy,1,"Has to go.... I love Firefox and use it on all my devices, even Nightly on my Pc. But on my Ipad I constantly get Popups to save the images on the webpages...drives me crazy. Doesn’t happen with Safari or Chrome...sorry to see Firefox go...",. 
29,iOS,Appbot,2017-10-12,9.1,,1,Firefox. Leider klappt das Update nicht,. 
30,iOS,Appbot,2017-10-12,9.1,,5,"Popup Grafik koppieren / Grafik speichern nervt!. Das Popup Grafik koppieren / Grafik speichern nervt total.
Das popt immer beim Scollen auf. Macht das bitte wieder weg.
Danke!

12.10.17
Nach dem heutigen Update funktioniert der Fuchs wieder super!",. 
31,iOS,Appbot,2017-10-12,9.1,,1,画像リンクタッチ時、コピー/保存を毎回聞かれる. 現在ipadで使用中。いちいちそれ消さないと反応しない。手間がすごいんじゃ~。,. 
32,iOS,Appbot,2017-10-12,9.1,delighted,5,Very satisfied!. I prefer this mobile browser for iOS over Chrome and Safari. It’s great!,. 
33,iOS,Appbot,2017-10-12,9.1,,5,pc版的挺好用的. 下载来试试看,. 
34,iOS,Appbot,2017-10-12,9.1,,1,"ブックマーク悪し. ブックマークが使い物にならない。
名前の変更も出来無い。デスクトップ版のブックマークを呼び出したあと、再度ブックマークを見るとまたローカルのブックマークに戻っているので毎回辿っていかなければならない。非常に面倒くさいです。",. 
35,iOS,Appbot,2017-10-11,9.1,,5,Süper. En iyi tarayıcı mükemellll,. 
36,iOS,Appbot,2017-10-11,9.1,,5,"Great app. The app works great, but it’s weird that in the latest version (9.2) it lists all the same changes as the last update.",. 
37,iOS,Appbot,2017-10-11,9.1,,4,tail. good,. 
38,iOS,Appbot,2017-10-11,9.1,happy,4,context to save pics. every time i tip on a item (also on simple scrolling!!!) there is the context menu to save a pic showing. please remove this in further release !!,. 
39,iOS,Appbot,2017-10-11,9.1,,3,"Сохранение паролей в IOS. Спасибо, не хватает возможности в сохранении паролей в связке ключей на iOS, либо в «Паролях программ и сайтов» на iOS 11.
Не работает «полная версия».",. 
40,iOS,Appbot,2017-10-11,9.1,happy,3,Bookmarks sync but. I know the sync works because it does on my laptop but where are the bookmarks on my iPhone browser?  I have to type in every address. The blue star keeps disappearing when I try to recreate my bookmark list.,. 
41,iOS,Appbot,2017-10-11,9.1,,4,"Great app, but one issue.. I am not able to share page to iMessage, please support this!",. 
42,iOS,Appbot,2017-10-11,9.1,sad,3,"Clunky interface. Don't like seeing recent history on newly opened tab.  Give me an option to see a blank page.  And when the history icon is toggled, give me an option right there to delete the history instead of digging into the settings.",. 
43,iOS,Appbot,2017-10-11,9.1,meh,1,"Keep moving, nothing to see here.. I suppose if you looked hard enough you could find a reason to bother with this browser but life is short.",. 
44,iOS,Appbot,2017-10-10,9.1,,2,"Fehlerhaft nach Update. Tippt man z.B. In der homematic ccu2 Web ui, öffnet sich ein Menü ""Grafik speichern/ Grafik kopieren "". Das stört doch erheblich. Bitte nachbessern.",. 
45,iOS,Appbot,2017-10-10,9.1,,1,Popup. Beim Scrollen werde ich ständig gefragt ob ich die Grafik speichern möchte.,. 
46,iOS,Appbot,2017-10-10,9.1,happy,3,"Feedback: Browser attempts to any image tapped on.. Even if it is a link, it will open up the option to copy or save the image. This is really troublesome for sites that show galleries of images.",. 
47,iOS,Appbot,2017-10-10,9.1,meh,1,Don't use this. I heard this app isn't safe to use so for those using this be careful,. 
48,iOS,Appbot,2017-10-10,9.1,sad,2,"Can’t Keep Up?. With the latest iPhone update, Firefox just can’t keep up. Been disappointed with Firefox on my phone for some time now. Waiting for updates to fix these issues.",. 
49,iOS,Appbot,2017-10-10,9.1,angry,1,Slow and worst browser ever. SO SLOW AND WORST BROWSER EVER I WILL SURE U GUYS,. 
50,iOS,Appbot,2017-10-09,9.1,meh,3,"Too many crashes. Goes great but I agree with at least one other reviewer that this version constantly wants me to save images. Driving me crazy. Please fix. 

Also, I’d like to rearrange my tabs which at this point don’t seem able to do.",. 
51,iOS,Appbot,2017-10-09,9.1,,2,"won’t work with images since ios11. Won’t go to links behind images, can’t open linked images in new tabs since ios11. Needs an update.",. 
52,iOS,Appbot,2017-10-09,9.1,,5,Testing. This is a test comment,. 
53,iOS,Appbot,2017-10-09,9.1,,2,Kinks. Keeps asking me if I want to save the image ...when I'm just copying a link,. 
54,iOS,Appbot,2017-10-09,9.1,angry,1,"You all DO know it’s for a touchscreen?. Ur update 10/2017:  I get a popup to copy or save an image each and every time I touch the screen near an image, on a touchscreen navigation device.  

User must manually close the popup to proceed.

Please fix this crippling bug ASAP, I don’t want to use anyone else browser.",. 
55,iOS,Appbot,2017-10-09,9.1,,5,"良くなってきた. 段々と使いやすくなってきた
重いと思っていた動作も軽くなり、これからに期待出来るものに
追加でスクロール速度が指で弾くと流れる速さが変わる機能の追加で使いやすくなったが、流れてる間は戻るボタンなどの機能がスクロールが終わるまで反応しないのは直して欲しい",. 
56,iOS,Appbot,2017-10-09,9.1,meh,1,"Only loads half of web page. Since the recent update, it only loads half a web page. Refreshing the page or reloading doesn’t load the rest. Before that, worked well, four stars.",. 
57,iOS,Appbot,2017-10-09,6.1,sad,1,Repeatedly Crashing. Great browser but has started to freeze and then hard crash after about 5 seconds of use. It crashes every time the app is opened. Phone restart does not help.,. 
58,iOS,Appbot,2017-10-09,9.1,,2,"画像保存の表示が. 基本的には使いやすいんですが、
ちょっと画面に触るだけで画像保存タブが出てきてストレスです。
どんだけ画像保存ばっかする人を想定してるんでしょう…？",. 
59,iOS,Appbot,2017-10-08,9.1,,1,!!!!. return the copy and paste option,. 
60,iOS,Appbot,2017-10-08,9.1,,2,Acil düzeltme..!!!!. Sayfada gezinirken resmî kaydet çıkıyor. Son yorumları okuyunca bu sorunun herkeste yaşandığı ortada. Acil düzeltme güncellemesi lazım..,. 
61,iOS,Appbot,2017-10-08,9.1,happy,5,"The Man!. Firefox is simply the best! Congrats, Mozilla.",. 
62,iOS,Appbot,2017-10-08,9.1,,1,Andauernde Abstürze. Habe immer wieder Abstürze und dann ein graues Fenster.,. 
63,iOS,Appbot,2017-10-08,9.1,meh,1,A browser that promotes censorship.. Lookup in the news...,. 
64,iOS,Appbot,2017-10-08,9.1,,1,登录了还是无法同步，pc端直接说未连接，那我登录的是啥. ？？？,. 
65,iOS,Appbot,2017-10-08,9.1,angry,2,"Not always responsive. Firefox for iOS freezes when opening new tab.

Using it on a 6s iOS 11.0.2

Request: i would like night mode to a black themed skin, the night mode that is offered is similar as iOS night mode and does not offer anything superior.",. 
66,iOS,Appbot,2017-10-08,9.1,,1,"Popup beim scrollen nervt. Das popup ""Bild speichern/Bild kopieren "" nervt beim scrollen und beim Surfen.",. 
67,iOS,Appbot,2017-10-08,9.1,meh,1,Slow. Browsing is super slow using this. Would not recommend at all,. 
68,iOS,Appbot,2017-10-08,9.1,,1,左划返回功能不够全面，应该学官方浏览器加入关闭当前子页面回到父页面功能. 左划返回功能不够全面，应该学官方浏览器加入“关闭当前子页面回到父页面”功能！,. 
69,iOS,Appbot,2017-10-08,9.1,happy,3,"New Version Good, but.... One significant quirk.  Links that are behind pictures cause the save image/copy image dialog box to show up.",. 
70,iOS,Appbot,2017-10-08,9.1,,1,アップデートしたら使いづらくなった. 画像に触れたら小ウィンドウが出て、毎回コピーしますかを聞いて邪魔する。早く治して！仕方ないので暫くChrom使います。,. 
71,iOS,Appbot,2017-10-08,9.1,,1,画像タッチ時、コピー/保存を毎回聞かれる. 現在ipadで使用中。いちいちそれ消さないと反応しない。手間がすごいんじゃ~。,. 
72,iOS,Appbot,2017-10-08,9.1,,1,"反応しない. 画面タップ時で反応しない
ページが変わるたびに更新しないとならなくなった…",. 
73,iOS,Appbot,2017-10-07,9.1,meh,3,"You all DO know it’s for a touchscreen?. I get a popup to copy an image each and every time I touch the screen near an image. 

I have to manually close the popup. 

Doesn’t happen on iPhone, so...  SERIOUSLY?",. 
74,iOS,Appbot,2017-10-07,9.1,sad,3,"Annoying. I search Craigslist quite a bit and every time I click on a picture to view it, it pops up “save image, copy image”. Severely annoying. Overall the app is a bit buggy.",. 
75,iOS,Appbot,2017-10-07,9.1,,4,🦊. Sync is still not the best and cant send page from pc to ios,. 
76,iOS,Appbot,2017-10-07,9.1,sad,2,"Where did right-clicking come from??. Worked great on my iPad Air 2 for years... but lately is acting really weird. If I'm shopping on a site, & I click an image to go to the image item's summary page, it goes... but it also brings up the menu you get when you are on a regular PC & you've right-clicked...?????? Why? It doesn't happen on any app other than Firefox... I have to click on another part of the page to get the little menu to disappear.  Every. Single. Time. I. Click. An. Image. FIX IT! FIX IT! FIX IT!",. 
77,iOS,Appbot,2017-10-07,9.1,,3,"Safari Extension Not Useful. Located in Safari SendTo dropdown.
1) Doesn’t open tab in Firefox.
2) Can’t find a Reading list in Firefox.",. 
78,iOS,Appbot,2017-10-07,9.1,sad,3,New bugs. Picture links are broken as off 9.1 (6308),. 
79,iOS,Appbot,2017-10-07,9.1,delighted,5,Just love THIS browser. ❤️🤓❤️,. 
80,iOS,Appbot,2017-10-07,9.1,,1,Fallo en inicio de sesión. Cambie como 20 veces la contraseña porque sigue diciendo que es errónea la cont. No puedo iniciar sesión en mi iPhone 6s Plus. Desinstalándolo.,. 
81,iOS,Appbot,2017-10-07,9.1,,1,"Problème avec VoiceOver. Tout est dans le titre, sa frise pour sa crache",. 
82,iOS,Appbot,2017-10-07,9.1,,2,"Popup Grafik koppieren / Grafik speichern nervt!. Das Popup Grafik koppieren / Grafik speichern nervt total.
Das popt immer beim Scollen auf. Macht das bitte wieder weg.
Danke!",. 
83,iOS,Appbot,2017-10-07,9.1,happy,2,Not a patch on PC version. Love Firefox it has been my browser for years on my computer. This version for IPad is not a patch on PC version. Doesn’t open with your homepage lacks controls in any visible sense. Sorry guys it jus t does not light my fire.,. 
84,iOS,Appbot,2017-10-07,9.1,,5,Regulus. いいやつ,. 
85,iOS,Appbot,2017-10-07,9.1,sad,1,Please fix this app make it Compatible for IOS-11. It keeps crashing and also won’t open I use to love this app on my iPad :/ please fix it thank you,. 
86,iOS,Appbot,2017-10-07,9.1,meh,1,"Not a best option. Just not really thought through, unreliable and unstable. For example, you can’t open extra tab from hot link in a private mode - laughable",. 
87,iOS,Appbot,2017-10-07,8.3,,2,Schlecht auf IPad. Stürzt oft ab Seite ist dann grau neu laden hilft auch nicht und langsam noch dazu Safari ist auch keine Lösung ständig Seite neu geladen weil es ein Problem gibt.,. 
88,iOS,Appbot,2017-10-07,9.1,sad,4,Nice browser. A good alternative for Safari. But since the last update there is a really annoying bug. When i tap on or near an image it keeps asking if I want to save or copy the image. Hope they solve this issue soon.,. 
89,iOS,Appbot,2017-10-07,9.1,,3,"Закладки. Добавляю страницу в закладку, логотип отображается, вышел зашёл, вместо логотипа первая буква страницы, неудобно так. Поддержки в приложении не обнаружил(",. 
90,iOS,Appbot,2017-10-07,9.1,meh,2,broken. as of recent update oct/2017 image board browsing is broken. pressing and  holding down on the image desired leads to the options save image or copy image rather than giving an option to open in a new tab. they have no right to remove functionality in any situation.,. 
91,iOS,Appbot,2017-10-06,9.1,meh,1,"Où sont les extensions?. Sans les extensions (adblocker, etc...), l'application que j'apprécie pourtant tellement sur d'autres plateformes perte une grande partie de sont intérêt. Par contre bravo la possibilité d'intégrer qwant dans vos moteur de recherche. A améliorer d'urgence, notamment par l’intégration d’un adblocker. Vous pourriez vous inspirer de brave",. 
92,iOS,Appbot,2017-10-06,9.1,angry,1,Worthless. I enter my username and password and it says it is incorrect when it IS correct. I am deleting this worthless app from my iphone,. 
93,iOS,Appbot,2017-10-06,9.1,delighted,5,Nice Browser. Firefox is a nice browser specially it’s tracking blocker is awesome..go ahead Firefox,. 
94,iOS,Appbot,2017-10-06,9.1,,1,"Genervt.... Immer wenn ich scrollen will öffnet sich ein Popup mit Grafik kopieren / Grafik speichern. Hab das jetzt entnervt deinstalliert. Ansonsten einer der besten Browser für Ios, aber das nervt extrem.",. 
95,iOS,Appbot,2017-10-06,9.1,meh,2,Can't open webpage from thumbnail. Latest update doesn't allow me to open webpages from thumbnails. When I hold my finger on the thumbnail it treats it like a photo.,. 
96,iOS,Appbot,2017-10-06,9.1,sad,1,"IOS 11, BROWSER SYNC DOES NOT WORK. After upgrade to IOS 11, the sync does not work anymore, cannot login",. 
97,iOS,Appbot,2017-10-06,9.1,delighted,5,"Pretty good. I really like this browser, that is all I am going to say",. 
98,iOS,Appbot,2017-10-05,9.1,meh,1,"ACHTUNG Datenweitergabe!. Die automatische Datenweitergabe 

Handy email und aktuell installierte apps sowie weiteres werden an drittanbieter versendet! Das war bei der Installation AUTOMATISCH AUF AN!

Ein absolutes NOGO!!! VORHER FRAGEN!!!

ACHTUNG!",. 
99,iOS,Appbot,2017-10-05,9.1,,1,"Am PC mein Liebling auf dem IPad ein Ärgernis. Stürzt ständig ab und ist sehr langsam. Keine Erweiterungen , für mich nicht nutzbar . Schade !!!",. 
100,iOS,Appbot,2017-10-05,9.1,,5,Swipe and save a photo pop up. Bazen kaydırırken fotoğrafı kaydet seçeneği geliyor. Benden mi kaynaklı bilmiyorum ama son güncellemelerden sonra dikkatimi çekti,. 
101,iOS,Appbot,2017-10-04,8.3,meh,5,"It's the fastest browser undisputed🔥🔥🔥. There is a slight defect in saving images, because when pressed to save the image is loaded again and not saved directly such as Safari and Chrome and there is another defect when converting the browser to the status of the computer and the operation of YouTube and when the exit from the browser to the background scans the video evidence and reloads again please solve This problem suggested that the interface of the program is changed and replaced with an attractive interface with the feature of themes really it is the first browser globally thanks Mozilla",. 
102,iOS,Appbot,2017-10-04,9.1,meh,2,"Latest update is buggy. I have to say the latest update for IOS 11 has been a real mess for me. 

No longer can I press and hold on a thumbnail of a pic and get the option to open it in a new browser. Now it keeps trying to save the thumbnail. 

And speaking of saving. When I’m on a site like DeviantArt which is mostly jpgs just trying to scroll up and down results in the save/copy screen pop up over and over. Same goes for clicking on a pic to expand. It’s pretty maddening. 

Really hoping to see an update that gets things back to normal soon.",. 
103,iOS,Appbot,2017-10-04,9.1,happy,4,"Not too shabby. I quite like it.  Just started using so I'll check back. First observation is a lack of [Select All] when I want to copy and paste into a TTS APP. 

The app doesn't appear to support 3D touch. Not sure this is life changing though.

Great job. It has improved since I first downloaded the app a while back...",. 
104,iOS,Appbot,2017-10-04,9.1,sad,4,"Great, but actually buggy. Great and fast browser. But in actual version there's a bug, if you click on picture with link, it opens the links but also shows a context menu to download the picture.",. 
105,iOS,Appbot,2017-10-04,9.1,sad,3,"New bugs need fixing. The latest update (Sept 2017) seems to have introduced some bugs. I am having some difficulty clicking some picture links. 

Normally Firefox for iOS is a stable browser, seems to do everything chrome does. I'm sticking with Firefox and I await an update. I trust Firefox more than Chrome.",. 
106,iOS,Appbot,2017-10-04,9.1,happy,5,"Good Browser.. I love Mozilla. They are my favorite company, always fighting for our net neutrality and protecting our freedom of speech from being infringed upon by big businesses like google and Microsoft. (Particularly Google). Google owns 97% of the global search market, and 59% of browser market as of September 2017. It’s fast, easy to use, secure, and reminds me a bit of the speed dial on opera for the new tab page.",. 
107,iOS,Appbot,2017-10-04,9.1,,5,No tracking. I like that it does not track you unless you want it to,. 
108,iOS,Appbot,2017-10-03,9.1,meh,2,Security nightmare. Opens apps installed on my device from links on websites without asking. What could go wrong?!,. 
109,iOS,Appbot,2017-10-03,9.1,angry,1,Crashes all the time. After last updates became totally unusable:(,. 
110,iOS,Appbot,2017-10-03,9.1,,3,好. 好,. 
111,iOS,Appbot,2017-10-03,9.1,,1,Basılı tutarak yeni sekmede açma sorunu. Merhaba. Son güncelleme ile birlikte sayfa üzerine basılı tuttuğumda yeni sekmede açması gerekirken “resmi aç veya kaydet” penceresi açılıyor. Düzeltilmezse büyük sıkıntı.,. 
112,iOS,Appbot,2017-10-03,9.1,angry,1,"Terrible. You can't move tabs around, and the tab pane is not frozen, so you have scroll all the way to the top of the page before you can switch tabs.

A box constantly opens asking me to open in a new tab or save an image, really poor",. 
113,iOS,Appbot,2017-10-03,9.1,,5,"Tuyệt. Rất tuyệt, nếu như có thêm addon chặn quảng cáo nữa thì perfect luôn",. 
114,iOS,Appbot,2017-10-03,9.1,,1,Clear private data doesn’t work.. Read the title.,. 
115,iOS,Appbot,2017-10-02,9.1,meh,2,"Navigation Frustration. Sync seems to work much better these days. However, the popup for copy/save images has gotten super annoying. It pops up if I happen to graze my finger on an image while scrolling a page up/down.",. 
116,iOS,Appbot,2017-10-02,9.1,,1,"画像ハイパーリンクがおかしい. 遷移せずに画像保存を促される。
アプデ直後から急になったのでアプデのせいかと。",. 
117,iOS,Appbot,2017-10-02,9.1,angry,1,Nasty bug on tap. Tapping on any image instantly brings up the save / copy menu. Highly difficult to read manga with.,. 
118,iOS,Appbot,2017-10-02,9.1,happy,4,"Good, but Tab Interface could use tinkering. Good browser, but the way it handles tabs could use some work. New tabs open automatically without any type of visual feedback, so it’s a bit hard to tell right away if the page I’m viewing is on a different tab than the previous page I viewed. Also, I think it’d be better if the New Tab button was in an easier to reach spot. It’s a bit inconvenient having it on top, away from where I usually place my fingers near. Besides that, though, it’s a fine browser - especially if you use Firefox on your desktop or other devices.",. 
119,iOS,Appbot,2017-10-02,9.1,meh,2,Can no longer browse without priming random picture save dialogs. Somethings up with this release! Scroll down a page and you find it randomly asks if you want to save an image as though the touch-and-hold timer has been drastically reduced,. 
120,iOS,Appbot,2017-10-02,9.1,,5,嗯哈哈哈. 咯咯咯,. 
121,iOS,Appbot,2017-10-02,9.1,sad,1,Passcode lock doesn't work.. How about not putting in a feature unless it works.,. 
122,iOS,Appbot,2017-10-01,9.1,sad,1,"Latest update broke links. An update wiped all tabs out in april 2017.

Edit: Now in October 2017 an update has broken how links work, in portrait mode clicking a picture/link will open a long-press select menu while sometimes loading the next page. In horizontal viewing, everything just quickly breaks and clicking on picture links stops working.",. 
123,iOS,Appbot,2017-10-01,9.1,sad,3,"Browser freezes a lot. While there is excellent connectivity.  Pages do not load completely.. Ever since ios 11.  

Audio are we ever going to get extensions?  Hello?",. 
124,iOS,Appbot,2017-10-01,9.1,meh,4,"Love when it works.. When using FF in private mode it sometimes gets stuck in crashing mode. Immediately after start, even without showing UI it crashes. Phone restart does not help. 

Only complete uninstall/install works, which is major annoyance because of sync account/reading documents.

Otherwise love FF :))))",. 
125,iOS,Appbot,2017-10-01,9.1,,2,Resmî kaydet uyarısı. Sürekli girilen sitelerde butonlara tıklandığında resmî kaydet uyarısı çıkıyor. Acilen düzeltilmeli.,. 
126,iOS,Appbot,2017-10-01,8.3,delighted,5,The fastest browser in smart phones. I thought the Chrome browser was faster but I did not think in the locale after using Firefox I was convinced that it is the fastest browser in the computer and the phones are undisputed indeed characterized by its simplicity and speed in opening the sites and save the pages by non-contact and the advantage of reading the first I hope that the interface is developed a little in terms of shape and Develop a little computer mode where I wanted to enter the site and go to another site needs to press the status of the computer every time a browser is really mighty❤️❤️❤️❤️❤️,. 
127,iOS,Appbot,2017-10-01,9.1,,5,Bagus banget. Keren APP nya,. 
128,iOS,Appbot,2017-10-01,9.1,meh,3,Update heute 28.09. Das alte Problem nach heutigem Update existiert immer noch!! Tap and Hold funktioniert nicht...habe jetzt schon 5x bemängelt und gebeten das wieder zu ändern...bei anderen Browsern geht das...nun das nächste Problem: ich kann die Bilder nur einmal anklicken und danach nicht wieder aufmachen um es nochmals zu sehen...egal bei welchem Gifanbieter ich auch gucke!!! im Privatmodus zu sein ist sehr gut!! das ihr auf Sicherheit achtet ist wohl nicht zu beklagen(sehr gut) aber das halt diese Sache ( Bilder) nicht mehr funktioniert und nach jedem Update immer schlechter geworden ist ist schlicht schlechter...schade das ihr darauf nicht reagiert...dann eben wieder Safari da klappt es!!,. 
129,iOS,Appbot,2017-10-01,9.1,delighted,5,Yeeeessss!. 3rd party keyboard support and blocking off 3rd party tracking...beautiful. Between this and the Firefox 57 on PC your team is on their A game. 🙌👌🏿💯,. 
130,iOS,Appbot,2017-10-01,9.0,happy,5,"El mejor navegador en iOS. El mejor navegador en iOS. Espero que sigan manteniéndose en su política de software abierto, rápido y seguro con la versión 52 (que está en beta para desarrolladores). Por favor, que no te obligue a actualizar a iOS 11 en su próxima versión, así evitamos caer en la obsolescencia de dispositivos (hoy por hoy funcionales).

Best browser in iOS. I hope Mozilla continue open, fast and safe software in 52 version (available for developers) and it will be compatible on iOS 10.3. Please, do not force obsolescence of some functional devices. Open also means compatible to most of operative systems, isn't it?",. 
131,iOS,Appbot,2017-09-30,9.1,sad,2,Weird glitch. Images with links anchored to them don't seem to work properly anymore. Cannot go to the link just the image.,. 
132,iOS,Appbot,2017-09-30,9.1,meh,4,"Great. Want memory usage control.. I keep going back to Firefox on Desktop and iPhone. Love on Desktop. Preferred on iPhone. Great sync from desktop to iPhone. 

Issues:  
Cellular data usage:  HORRIBLE. Used more cellular data in 3 days than Safari and Google app together for rest of month doing the same things everyday!!!!  What?  Video ads!!!  Disabled all cellular usage for Firefox and use Safari and Google when using cellular data, which for me is months at a time. 

Memory Usage:  HORRIBLE. However, it has a method to clear ""Documents and Data"" usage, (unlike Google app), so no need to uninstall and reinstall to get back memory, BUT that memory clearing mechanism is hard to find. Need better control over memory usage. 

Bookmark control.  None. Delete only. No edit to change name or to group bookmarks in directories or even to group related bookmarks just together.",. 
133,iOS,Appbot,2017-09-30,9.1,angry,1,Getting worse. This app has progressively been worse over the last few updates.,. 
134,iOS,Appbot,2017-09-30,9.1,,5,Melhorou!. Nova versão está bem melhor!,. 
135,iOS,Appbot,2017-09-30,9.1,meh,2,Cannot save bookmarks I want to save directly in my folders. Cannot save bookmarks I want to save directly in my folders. Double tapping the ⭐️ as suggested in your forum does not work either.,. 
136,iOS,Appbot,2017-09-30,9.1,delighted,5,"Excelente. Cada vez mejor, en la última actualización bloquea la publicidad excelente.",. 
137,iOS,Appbot,2017-09-30,9.1,,1,闪退. 一更新完就闪退进不去了啊,. 
138,iOS,Appbot,2017-09-30,9.1,angry,1,Update error. After last update the browser is absolutely unusable. Is downloading 20-30% of each website and there is not a way to force it to download a full page. Time to get back to the safari :(,. 
139,iOS,Appbot,2017-09-30,9.1,sad,3,"Update Has Issue. I just updated and while browsing something like Tumblr, every time my thumb brushes the screen to scroll it asks if I want to save the image it brushes on or it starts playing the video. The previous versions of Firefox on iOS didn’t give me that issue. It really makes browsing website with images difficult. I hope they fix that because I enjoy having Firefox sync with my MacBooks and PCs.",. 
140,iOS,Appbot,2017-09-30,9.1,sad,2,"Last update broke it. Behavior is so glitchy and unpredictable I don't even know how to summarize the problem. Used to work well. Now it's crap

DON'T UPDATE!",. 
